"Patent";"ApplicantCountry";"Abstract";"CPCs";"Granted";"NInventors";"TTR";"HerdanC";"GuiraudR";"UberIndex"
"US 2006084152 A1 20060420";"DE";"Isolated nucleic acid molecules, designated MP nucleic acid molecules, which encode novel MP proteins from Corynebacterium glutamicum are described. The invention also provides antisense nucleic acid molecules, recombinant expression vectors containing MP nucleic acid molecules, and host cells into which the expression vectors have been introduced. The invention still further provides isolated MP proteins, mutated MP proteins, fusion proteins, antigenic peptides and methods for the improvement of production of a desired compound from C. glutamicum based on genetic engineering of MP genes in this organism.";"C12P 13/08 (2013.01)
C07K 14/34 (2013.01)
C12N 9/00 (2013.01)
C12N 9/18 (2013.01)
C12N 9/90 (2013.01)
C12P 13/12 (2013.01)";0;5;0,629032258064516;0,887676848954755;4,95300495300743;15,957455545173
"US 2005260707 A1 20051124";"DE";"Isolated nucleic acid molecules, designated MP nucleic acid molecules, which encode novel MP proteins from Corynebacterium glutamicum are described. The invention also provides antisense nucleic acid molecules, recombinant expression vectors containing MP nucleic acid molecules, and host cells into which the expression vectors have been introduced. The invention still further provides isolated MP proteins, mutated MP proteins, fusion proteins, antigenic peptides and methods for the improvement of production of a desired compound from C. glutamicum based on genetic engineering of MP genes in this organism.";"C12N 9/18 (2013.01)
C07K 14/34 (2013.01)
C12N 9/00 (2013.01)
C12N 9/1096 (2013.01)
C12P 13/04 (2013.01)
C12P 13/06 (2013.01)
C12P 13/08 (2013.01)
C12P 13/10 (2013.01)
C12P 13/12 (2013.01)
C12P 13/14 (2013.01)
C12P 13/20 (2013.01)
C12P 13/24 (2013.01)
C12Y 206/01005 (2013.01)";0;5;0,629032258064516;0,887676848954755;4,95300495300743;15,957455545173
"US 2007117183 A1 20070524";"DE";"Isolated nucleic acid molecules, designated MP nucleic acid molecules, which encode novel MP proteins from Corynebacterium glutamicum are described. The invention also provides antisense nucleic acid molecules, recombinant expression vectors containing MP nucleic acid molecules, and host cells into which the expression vectors have been introduced. The invention still further provides isolated MP proteins, mutated MP proteins, fusion proteins, antigenic peptides and methods for the improvement of production of a desired compound from C. glutamicum based on genetic engineering of MP genes in this organism.";"C12N 9/18 (2013.01)
C07K 14/34 (2013.01)
C12N 9/00 (2013.01)
C12N 9/1096 (2013.01)
C12P 13/04 (2013.01)
C12P 13/06 (2013.01)
C12P 13/08 (2013.01)
C12P 13/10 (2013.01)
C12P 13/12 (2013.01)
C12P 13/14 (2013.01)
C12P 13/20 (2013.01)
C12P 13/24 (2013.01)
C12Y 206/01005 (2013.01)";0;5;0,629032258064516;0,887676848954755;4,95300495300743;15,957455545173
"US 7273721 B2 20070925";"DE";"Isolated nucleic acid molecules, designated MCT nucleic acid molecules, which encode novel MCT proteins from Corynebacterium glutamicum are described. The invention also provides antisense nucleic acid molecules, recombinant expression vectors containing MCT nucleic acid molecules, and host cells into which the expression vectors have been introduced. The invention still further provides isolated MCT proteins, mutated MCT proteins, fusion proteins, antigenic peptides and methods for the improvement of production of a desired compound from C. glutamicum based on genetic engineering of MCT genes in this organism.";"C12Q 1/689 (2013.01)
C07K 14/34 (2013.01)
C12N 9/00 (2013.01)
C12N 9/18 (2013.01)
G01N 33/56911 (2013.01)";1;5;0,629032258064516;0,887676848954755;4,95300495300743;15,957455545173
"US 2007111230 A1 20070517";"DE";"Isolated nucleic acid molecules, designated MCT nucleic acid molecules, which encode novel MCT proteins from Corynebacterium glutamicum are described. The invention also provides antisense nucleic acid molecules, recombinant expression vectors containing MCT nucleic acid molecules, and host cells into which the expression vectors have been introduced. The invention still further provides isolated MCT proteins, mutated MCT proteins, fusion proteins, antigenic peptides and methods for the improvement of production of a desired compound from C. glutamicum based on genetic engineering of MCT genes in this organism.";"C12Q 1/689 (2013.01)
C07K 14/34 (2013.01)
C12N 9/00 (2013.01)
C12N 9/18 (2013.01)
G01N 33/56911 (2013.01)";0;5;0,629032258064516;0,887676848954755;4,95300495300743;15,957455545173
"US 2007299993 A1 20071227";"DE";"Procedures and methods for managing and transmitting data within multidimensional systems of transmitters and receivers are described. Splitting a data stream into a plurality of independent branches and subsequent merging of the individual branches to form a data stream is to be performable in a simple manner, the individual data streams being recombined in the correct sequence. This method is of importance in particular for executing reentrant code. The method is well suited, in particular, for configurable architectures; particular attention is paid to the efficient control of configuration and reconfiguration.";"G06F 15/17 (2013.01)";0;4;0,769230769230769;0,933599574424205;5,54700196225229;25,8432582133984
"US 2007065914 A1 20070322";"DE";"Isolated nucleic acid molecules, designated SMP nucleic acid molecules, which encode novel SMP proteins from Corynebacterium glutamicum are described. The invention also provides antisense nucleic acid molecules, recombinant expression vectors containing SMP nucleic acid molecules, and host cells into which the expression vectors have been introduced. The invention still further provides isolated SMP proteins, mutated SMP proteins, fusion proteins, antigenic peptides and methods for the improvement of production of a desired compound from C. glutamicum based on genetic engineering of SMP genes in this organism.";"C12N 9/18 (2013.01)
C07K 14/34 (2013.01)
C12N 9/00 (2013.01)
C12N 9/90 (2013.01)
C12P 7/18 (2013.01)
C12P 7/40 (2013.01)
C12P 7/6409 (2013.01)
C12P 7/6427 (2013.01)
C12P 7/6463 (2013.01)
C12P 7/6472 (2013.01)
C12P 13/04 (2013.01)
C12P 13/06 (2013.01)
C12P 13/08 (2013.01)
C12P 13/10 (2013.01)
C12P 13/12 (2013.01)
C12P 13/14 (2013.01)
C12P 13/20 (2013.01)
C12P 13/222 (2013.01)
C12P 13/225 (2013.01)
C12P 13/227 (2013.01)
C12P 13/24 (2013.01)
C12P 19/00 (2013.01)
C12P 19/34 (2013.01)
C12Y 301/01031 (2013.01)";0;5;0,629032258064516;0,887676848954755;4,95300495300743;15,957455545173
"US 2007072265 A1 20070329";"DE";"Isolated nucleic acid molecules, designated SMP nucleic acid molecules, which encode novel SMP proteins from Corynebacterium glutamicum are described. The invention also provides antisense nucleic acid molecules, recombinant expression vectors containing SMP nucleic acid molecules, and host cells into which the expression vectors have been introduced. The invention still further provides isolated SMP proteins, mutated SMP proteins, fusion proteins, antigenic peptides and methods for the improvement of production of a desired compound from C. glutamicum based on genetic engineering of SMP genes in this organism.";"C12N 9/18 (2013.01)
C07K 14/34 (2013.01)
C12N 9/00 (2013.01)
C12N 9/90 (2013.01)
C12P 7/18 (2013.01)
C12P 7/40 (2013.01)
C12P 7/6409 (2013.01)
C12P 7/6427 (2013.01)
C12P 7/6463 (2013.01)
C12P 7/6472 (2013.01)
C12P 13/04 (2013.01)
C12P 13/06 (2013.01)
C12P 13/08 (2013.01)
C12P 13/10 (2013.01)
C12P 13/12 (2013.01)
C12P 13/14 (2013.01)
C12P 13/20 (2013.01)
C12P 13/222 (2013.01)
C12P 13/225 (2013.01)
C12P 13/227 (2013.01)
C12P 13/24 (2013.01)
C12P 19/00 (2013.01)
C12P 19/34 (2013.01)
C12Y 301/01031 (2013.01)";0;5;0,629032258064516;0,887676848954755;4,95300495300743;15,957455545173
"US 2007077622 A1 20070405";"DE";"Isolated nucleic acid molecules, designated SMP nucleic acid molecules, which encode novel SMP proteins from Corynebacterium glutamicum are described. The invention also provides antisense nucleic acid molecules, recombinant expression vectors containing SMP nucleic acid molecules, and host cells into which the expression vectors have been introduced. The invention still further provides isolated SMP proteins, mutated SMP proteins, fusion proteins, antigenic peptides and methods for the improvement of production of a desired compound from C. glutamicum based on genetic engineering of SMP genes in this organism.";"C12N 9/18 (2013.01)
C07K 14/34 (2013.01)
C12N 9/00 (2013.01)
C12N 9/90 (2013.01)
C12P 7/18 (2013.01)
C12P 7/40 (2013.01)
C12P 7/6409 (2013.01)
C12P 7/6427 (2013.01)
C12P 7/6463 (2013.01)
C12P 7/6472 (2013.01)
C12P 13/04 (2013.01)
C12P 13/06 (2013.01)
C12P 13/08 (2013.01)
C12P 13/10 (2013.01)
C12P 13/12 (2013.01)
C12P 13/14 (2013.01)
C12P 13/20 (2013.01)
C12P 13/222 (2013.01)
C12P 13/225 (2013.01)
C12P 13/227 (2013.01)
C12P 13/24 (2013.01)
C12P 19/00 (2013.01)
C12P 19/34 (2013.01)
C12Y 301/01031 (2013.01)";0;5;0,629032258064516;0,887676848954755;4,95300495300743;15,957455545173
"US 2007082383 A1 20070412";"DE";"Isolated nucleic acid molecules, designated SMP nucleic acid molecules, which encode novel SMP proteins from Corynebacterium glutamicum are described. The invention also provides antisense nucleic acid molecules, recombinant expression vectors containing SMP nucleic acid molecules, and host cells into which the expression vectors have been introduced. The invention still further provides isolated SMP proteins, mutated SMP proteins, fusion proteins, antigenic peptides and methods for the improvement of production of a desired compound from C. glutamicum based on genetic engineering of SMP genes in this organism.";"C12N 9/18 (2013.01)
C07K 14/34 (2013.01)
C12N 9/00 (2013.01)
C12N 9/90 (2013.01)
C12P 7/18 (2013.01)
C12P 7/40 (2013.01)
C12P 7/6409 (2013.01)
C12P 7/6427 (2013.01)
C12P 7/6463 (2013.01)
C12P 7/6472 (2013.01)
C12P 13/04 (2013.01)
C12P 13/06 (2013.01)
C12P 13/08 (2013.01)
C12P 13/10 (2013.01)
C12P 13/12 (2013.01)
C12P 13/14 (2013.01)
C12P 13/20 (2013.01)
C12P 13/222 (2013.01)
C12P 13/225 (2013.01)
C12P 13/227 (2013.01)
C12P 13/24 (2013.01)
C12P 19/00 (2013.01)
C12P 19/34 (2013.01)
C12Y 301/01031 (2013.01)";0;5;0,629032258064516;0,887676848954755;4,95300495300743;15,957455545173
